fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,3,182,175,140.000000,146.000000,451.266667,494.083333,49.948152,0.967692,1.038172,1.010295,1.690057,3.479781,1.609045,3.738819,0.016885,1.434496,3.381312,1.359586,3.732186,0.020223,1.005749,2.652705,0.949600,2.999958,0.023037,5.137935,11.349350,4.873944,12.424840,0.018741,0.088574,1140827.000000,2995822.000000,17.028812,27.656471,21.169711,27.369089,0.029515,-0.023197
0,3,183,175,140.000000,147.000000,451.266667,501.200000,57.064819,1.044312,0.993646,1.053720,1.848481,3.513054,1.715511,3.643114,0.013197,1.696349,3.278848,1.631863,3.493695,0.013339,1.285141,2.467353,1.286035,2.696928,0.012977,6.064501,10.966457,5.888770,11.620274,0.011911,0.053465,1451764.000000,2788371.000000,18.637411,27.562257,25.964408,27.025480,0.083353,-0.067337
0,3,190,174,143.000000,146.000000,472.683333,494.083333,28.531485,1.126357,1.052737,1.089302,2.374445,3.632506,2.246549,3.886233,0.019207,2.402212,3.586240,2.312289,3.783658,0.017259,1.991834,2.856371,1.954692,2.962364,0.014571,8.402104,12.013683,8.131809,12.560808,0.015238,0.064630,2155879.000000,3318687.000000,14.710441,27.768296,15.349557,27.750468,-0.069222,-0.041808
0,3,191,174,143.000000,151.000000,472.683333,529.733333,64.181485,1.108189,1.074044,1.096656,1.748012,4.237299,1.697533,4.431417,0.014946,1.673579,4.303488,1.653835,4.530135,0.015696,1.329722,3.514681,1.336925,3.711295,0.015904,6.085667,14.297536,5.998423,14.882065,0.014154,0.062949,1515873.000000,3975876.000000,16.684396,27.679577,22.670363,27.274270,0.027797,-0.054730
0,3,194,190,147.000000,151.000000,501.200000,529.733333,35.664819,1.096253,1.094157,1.109823,2.104608,3.481221,1.979059,3.698913,0.017535,2.049280,3.552086,1.980084,3.772037,0.018069,1.641566,2.930331,1.634824,3.100975,0.017949,7.248227,11.966335,7.062361,12.598316,0.016228,0.068675,1925480.000000,3347287.000000,14.648724,27.788237,15.342913,27.779961,-0.018459,-0.045411
0,3,195,190,147.000000,151.000000,501.200000,529.733333,35.664819,1.112267,1.146528,1.107660,2.142544,3.632138,2.020967,3.886810,0.018337,2.117590,3.882247,1.949479,4.126961,0.021027,1.721552,3.355346,1.547866,3.531999,0.023130,7.486672,13.082682,6.901215,13.780539,0.019390,0.081996,1929965.000000,3863947.000000,16.665852,27.609485,18.830829,27.541116,-0.041884,-0.030645
0,3,196,182,147.000000,151.000000,501.200000,529.733333,35.664819,1.130926,1.144601,1.119147,1.974201,3.398706,1.866053,3.655654,0.018854,1.958201,3.609010,1.824038,3.846606,0.020920,1.604444,3.104547,1.474188,3.266679,0.022308,7.014157,12.221306,6.545677,12.882567,0.018983,0.080589,1750509.000000,3336044.000000,21.368536,27.339394,26.425921,27.052994,-0.035432,-0.048325
0,3,200,194,152.000000,155.000000,536.850000,558.266667,28.548152,1.077044,1.136433,1.097918,2.165536,3.139110,2.045276,3.402690,0.017840,2.083435,3.290233,1.918719,3.618640,0.022235,1.645887,2.799842,1.479502,3.115848,0.026103,7.327382,11.207277,6.765756,12.230796,0.020751,0.089399,1978224.000000,3077690.000000,14.753753,27.794475,15.282467,27.799227,-0.007231,-0.056182
0,3,201,194,152.000000,155.000000,536.850000,558.266667,28.548152,1.057466,1.133719,1.093034,2.100253,3.296088,1.944826,3.527692,0.020869,1.980971,3.461007,1.789525,3.786048,0.026263,1.534990,2.945868,1.355125,3.286861,0.031053,6.977307,11.739624,6.332583,12.763783,0.024564,0.107137,1745991.000000,3268659.000000,16.775202,27.657376,18.448219,27.593884,-0.023169,-0.065344
0,3,202,195,152.000000,156.000000,536.850000,565.383333,35.664819,1.165294,1.138020,1.149483,2.174759,3.535578,2.060694,3.763641,0.016888,2.242823,3.745629,2.113976,4.013034,0.017971,1.905118,3.210400,1.788600,3.452453,0.018439,7.961528,12.640378,7.528624,13.433526,0.016235,0.066399,2169874.000000,3728983.000000,18.842028,27.543765,22.674561,27.271417,-0.061511,-0.070543
0,3,203,195,152.000000,156.000000,536.850000,565.383333,35.664819,1.189265,1.151741,1.150187,2.026233,3.370806,1.893220,3.550906,0.017633,2.106205,3.597625,1.921011,3.773601,0.018930,1.810440,3.111855,1.613807,3.240284,0.019544,7.570380,12.196594,6.923622,12.673809,0.016951,0.069706,1988215.000000,3508882.000000,20.872250,27.413825,26.047293,27.057567,-0.013927,-0.086792
0,3,204,191,152.000000,154.000000,536.850000,551.116667,21.398152,1.055491,1.020694,1.040242,2.405352,3.375645,2.243544,3.729938,0.023754,2.299748,3.221924,2.154048,3.571971,0.023634,1.796793,2.483697,1.693858,2.753385,0.022702,7.975961,10.824356,7.515309,11.889903,0.021437,0.095078,1962037.000000,2689214.000000,23.070442,27.266604,26.240282,27.075031,0.000667,-0.032024
0,3,210,200,156.000000,161.000000,565.383333,601.066667,42.814819,1.133442,1.121585,1.132221,1.770007,3.184402,1.661680,3.406718,0.016774,1.730503,3.301618,1.644738,3.535420,0.017880,1.404714,2.776796,1.355130,2.965396,0.018297,6.302664,11.220440,6.029995,11.875819,0.015835,0.067509,1775448.000000,3268230.000000,14.627026,27.810091,15.513444,27.756717,-0.000051,-0.059313
0,3,211,200,156.000000,160.000000,565.383333,593.933333,35.681485,1.107884,1.115824,1.100404,1.871677,3.341208,1.763562,3.595389,0.019971,1.810198,3.461007,1.678388,3.739858,0.022464,1.448302,2.903556,1.322592,3.139897,0.024241,6.514411,11.712483,6.049504,12.525976,0.020406,0.088564,1735918.000000,3316174.000000,16.378786,27.672209,18.390307,27.582301,-0.078816,-0.070276
0,3,213,201,156.000000,161.000000,565.383333,601.066667,42.814819,1.075686,1.071578,1.085259,2.019514,3.470410,1.916792,3.727487,0.015539,1.924046,3.472391,1.863835,3.746262,0.016311,1.509447,2.807674,1.495735,3.033084,0.016518,6.824677,11.682999,6.650152,12.487604,0.014722,0.063649,1898233.000000,3397580.000000,20.007828,27.440841,26.421719,27.047925,0.075633,-0.047453
0,4,33,26,41.000000,45.000000,-254.766667,-226.233333,35.664819,0.916934,0.853117,0.869177,2.804190,3.839623,2.697159,3.953749,0.010723,2.390827,3.119460,2.267429,3.153032,0.009244,1.649884,2.032252,1.543446,2.013396,0.007452,8.077843,10.290755,7.667571,10.362440,0.008445,0.042716,1443285.000000,1700487.000000,14.867375,40.327519,14.793527,40.199809,-0.096868,-0.004775
0,4,45,40,48.000000,52.000000,-204.833333,-176.300000,35.664819,0.923210,0.956014,0.943774,1.801263,3.146613,1.663340,3.389065,0.019955,1.480036,2.812068,1.366688,3.061820,0.022615,0.999779,2.029966,0.925593,2.227794,0.024626,5.224294,9.450558,4.857668,10.200760,0.020801,0.103623,809751.000000,1524193.000000,18.598631,39.817978,21.718850,39.522630,0.008250,0.064188
0,4,54,43,53.000000,59.000000,-169.150000,-126.366667,49.914819,0.688474,0.880561,0.821346,2.214799,3.757410,2.163054,3.979148,0.012207,1.423111,3.142230,1.434785,3.549282,0.018139,0.739083,2.109468,0.770294,2.541444,0.023906,4.790400,10.394366,4.846690,11.740329,0.017718,0.103397,587714.000000,1663939.000000,16.273884,39.919458,18.386420,39.642916,0.037794,0.066457
0,4,60,54,60.000000,69.000000,-119.233333,-55.050000,71.314819,0.829930,1.077873,0.909619,2.071173,5.713183,2.007304,5.996250,0.015341,1.571115,5.908758,1.442382,6.073265,0.020153,0.970787,4.885337,0.842814,4.904184,0.024688,5.400175,19.346193,4.933359,19.739732,0.019439,0.096520,839918.000000,3454160.000000,19.847746,39.632091,29.386085,38.725727,0.107221,-0.069910
0,4,61,53,61.000000,68.000000,-112.083333,-62.183333,57.031485,0.834218,0.852187,0.848543,2.157895,4.003732,2.065385,4.182903,0.012366,1.650809,3.256079,1.580918,3.452515,0.013687,1.027462,2.121601,0.985121,2.279775,0.014703,5.655352,10.718885,5.422961,11.319058,0.012894,0.069070,786058.000000,1560756.000000,14.153571,39.964669,14.747731,39.782685,0.001101,-0.014881
0,4,73,61,69.000000,75.000000,-55.050000,-12.283333,49.898152,0.909754,0.817940,0.808951,2.235057,4.017170,2.078104,4.157967,0.013890,1.855737,3.142230,1.580957,3.151815,0.013817,1.255746,1.967566,0.978678,1.907922,0.013369,6.387967,10.322657,5.416320,10.286731,0.012846,0.067560,919242.000000,1420680.000000,14.054943,39.706147,14.803079,39.684668,-0.044333,-0.010150
0,4,74,61,69.000000,75.000000,-55.050000,-12.283333,49.898152,0.911691,0.839847,0.847798,2.043825,4.016555,1.951094,4.226781,0.015482,1.684964,3.221924,1.530470,3.383186,0.015886,1.135838,2.069987,0.980089,2.163675,0.015860,5.853845,10.597509,5.290418,11.054059,0.014758,0.076563,824537.000000,1421183.000000,16.097281,39.672934,18.332040,39.456001,0.036901,0.040988
