fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,2,43,29,38.000000,45.000000,-299.900000,-264.916667,39.983934,1.129700,1.021610,1.079810,2.147140,3.919071,2.047484,4.055566,0.017087,2.151744,3.779783,2.025167,4.023839,0.017165,1.774720,2.933358,1.648703,3.208034,0.016642,7.620321,12.578184,7.166265,13.329375,0.015515,0.064470,577110.000000,908607.000000,24.019920,22.489989,29.719164,22.508236,-0.073978,0.008310
0,2,46,34,44.000000,55.000000,-269.900000,-214.900000,60.000601,0.813306,0.953208,0.890311,1.966318,3.262164,1.951257,3.302695,0.008771,1.457266,2.914532,1.436778,3.028522,0.012428,0.880689,2.101193,0.862534,2.241158,0.015915,5.024091,9.768846,4.950002,10.151697,0.011971,0.060495,326883.000000,716840.000000,17.447951,22.376991,18.320307,22.434925,0.016860,-0.024385
0,2,47,34,44.000000,54.000000,-269.900000,-219.900000,55.000601,1.013466,0.994999,0.995529,1.891301,3.348667,1.874321,3.381122,0.010727,1.696349,3.119460,1.666152,3.146616,0.011560,1.253180,2.345906,1.218718,2.361184,0.012025,6.021708,10.467537,5.892828,10.517243,0.010532,0.048296,415454.000000,793341.000000,19.275462,22.295287,21.303784,22.495397,-0.012587,-0.082105
0,2,48,35,45.000000,53.000000,-264.916667,-224.900000,45.017268,0.992816,0.961596,0.985722,1.818477,3.071539,1.776717,3.116109,0.012485,1.593885,2.755143,1.544377,2.876730,0.013823,1.151585,1.997867,1.106343,2.146267,0.014726,5.671876,9.278940,5.487954,9.673253,0.012596,0.058027,382359.000000,731385.000000,21.436792,22.415384,23.810855,22.516345,-0.069596,-0.110733
0,2,54,48,54.000000,63.000000,-219.900000,-174.900000,50.000601,1.038002,0.988914,0.945813,1.681511,3.642952,1.673174,3.995042,0.017407,1.514190,3.392697,1.407809,3.576543,0.018647,1.130144,2.544894,0.977282,2.564438,0.019294,5.483376,11.317799,5.020351,11.737554,0.016986,0.080052,384339.000000,840562.000000,23.618406,22.605959,28.716980,22.640451,-0.133609,0.031929
0,2,55,48,54.000000,63.000000,-219.900000,-174.900000,50.000601,1.122777,0.960391,0.999463,1.711242,3.963957,1.648463,4.289381,0.019126,1.650809,3.609010,1.568191,3.749629,0.017435,1.323739,2.639634,1.237981,2.617258,0.014973,6.036074,11.959881,5.690131,12.200554,0.015255,0.072993,422867.000000,835673.000000,25.184879,22.510757,32.355008,22.796775,-0.137416,0.063356
0,2,58,47,55.000000,64.000000,-214.900000,-169.900000,50.000601,1.014271,0.859693,0.900189,1.732999,3.442261,1.715220,3.531848,0.014446,1.536960,2.800683,1.471373,2.808756,0.012931,1.127051,1.831776,1.040647,1.789856,0.010846,5.522074,9.296882,5.234371,9.232198,0.011349,0.057528,380173.000000,697432.000000,20.672927,22.566655,22.562713,22.675485,-0.121322,0.148550
0,2,59,47,55.000000,61.000000,-214.900000,-184.900000,35.000601,1.037986,0.850864,0.945682,1.933801,3.233324,1.861388,3.388876,0.017119,1.776043,2.595755,1.761472,2.676564,0.011954,1.343600,1.677215,1.375049,1.695816,0.005991,6.305987,8.642899,6.273973,8.825072,0.009748,0.048058,456810.000000,668367.000000,22.416576,22.459666,24.375334,22.666262,-0.101338,0.162879
0,2,60,46,56.000000,83.000000,-209.900000,-74.900000,140.000601,0.843794,0.998949,0.915255,1.854150,4.328647,1.809820,3.870104,0.005429,1.411726,4.109945,1.417203,3.533475,0.006526,0.879548,3.131592,0.908947,2.591324,0.007483,4.915085,13.584549,4.944032,11.699292,0.006152,0.036645,339693.000000,1199062.000000,17.614105,22.475839,19.076837,22.658528,0.003394,0.085002
0,2,61,46,56.000000,71.000000,-209.900000,-134.916667,79.983934,1.076550,0.859564,0.880264,1.785606,3.694377,1.851626,3.787201,0.008945,1.673579,3.016996,1.555367,2.983385,0.008142,1.298697,1.977552,1.072770,1.879843,0.007012,6.039063,9.976299,5.468523,9.764577,0.007247,0.033434,414151.000000,811866.000000,19.317055,22.438212,20.986078,22.595839,0.036040,0.157597
