,time,growth_rate,p1lo_p5t_phi_r,sigma_p1lo_p5t,p1lo_p5o_phi_r,sigma_p1lo_p5o,sigma2_p1lo_p5t,d_phi_r,chi1_r,chi2_r
20,-219.54022988505747,0.018301678050485545,0.1958744823328179,0.09343574432216473,0.19440785398386015,0.09414063102617737,0.06444886941221233,5.63778564425605e-05,0.19895495704595847,0.20034044814902127
21,-215.51724137931035,0.018369692112768652,0.19615235028704078,0.09365012494567232,0.19468364137601046,0.09435662895419945,0.0644436618029574,2.3979335564904936e-05,0.19745772521753496,0.19804933320082235
22,-211.4942528735632,0.0183792613304026,0.19606741951552403,0.09373949723935335,0.19459934653152064,0.09444667547958893,0.06432547205759205,8.410302651868977e-06,0.19652501694017988,0.19673426192107774
23,-207.4712643678161,0.01825570267779262,0.19622001938883743,0.0930369018138582,0.19475080379913276,0.09373877961819181,0.06433267454739208,3.5776363783559365e-05,0.19817975571972543,0.1990541592389312
24,-203.44827586206895,0.01830118671208588,0.1963552753160814,0.09320445647628099,0.19488504698507986,0.09390759832634565,0.06444113643891318,2.398695214605072e-05,0.19766595273407694,0.19825097398172817
25,-199.42528735632183,0.018278206356822542,0.19641301785438037,0.09306005557316936,0.19494235717076913,0.09376210805130908,0.06477544212490442,2.1473270069425722e-05,0.1975878196730178,0.19810080444361042
26,-195.4022988505747,0.018304135601688577,0.1965280487534216,0.09313752269862648,0.19505652676528754,0.09384015959493645,0.06470133262443449,4.558905551859704e-05,0.19901869111483372,0.2001133266767789
27,-191.3793103448276,0.018241057774606665,0.19677982634705873,0.09269780400372486,0.1953064191508462,0.09339712362714542,0.06451966669222507,6.281454094862675e-05,0.20022340630414165,0.2017273457050794
28,-187.35632183908046,0.018163915099390353,0.19703345310588183,0.09218696019923799,0.195558146855795,0.09288242597627222,0.064304747156835,4.5986560782660234e-05,0.19956520688974552,0.20066296252200747
29,-183.33333333333331,0.018162289609384197,0.1971498331579537,0.09212429611762757,0.19567365550143567,0.09281928915183443,0.0640820689745304,4.0064973925304703e-05,0.19935577606421612,0.20032109371128992
30,-179.31034482758622,0.01809011763843368,0.19735581496505095,0.09166245059278945,0.19587809500065256,0.0923539594275379,0.06388032323688965,3.7995329041279735e-05,0.19945615117074572,0.20036960628493528
31,-175.28735632183907,0.017932640001535098,0.197455542701964,0.09081862051652972,0.1959770760168882,0.09150376342991139,0.06452990516363609,3.213180018448808e-05,0.19924734804583627,0.19997730821753346
32,-171.26436781609195,0.01777735468164072,0.19761434669067326,0.08995983833839608,0.19613469094600688,0.09063850253056241,0.06501041673827364,1.6157147884816848e-05,0.1985232078893252,0.19887200677970074
33,-167.24137931034483,0.017638288618252094,0.19758554274241655,0.08926912553134692,0.1961061026699836,0.08994257893103215,0.06541743932313211,1.3548777366869831e-05,0.19835368854500024,0.19863376023283996
34,-163.2183908045977,0.017456196216713148,0.19772335984190095,0.08828595786896942,0.19624288785115648,0.08895199417343,0.06586063951065832,2.174932117725461e-05,0.19896929686662523,0.19939353408389862
35,-159.19540229885058,0.017249678558721768,0.19776053728062434,0.08722507936072345,0.19627978692036016,0.0878831123131429,0.06613920265332592,6.38095685686715e-05,0.20145971163633478,0.2026390475105896
36,-155.17241379310343,0.017132157248909288,0.19823677016371785,0.08642270167517534,0.19675245396558275,0.08707468142636818,0.06560651131944448,0.00011323333346311451,0.204846173277288,0.2069432607550832
37,-151.1494252873563,0.017033664759111944,0.19867161007860343,0.08573778987532572,0.197184037976285,0.08638460259729824,0.06538460137666909,9.886952707301499e-05,0.20447597035404716,0.20628277556984487
38,-147.1264367816092,0.017147849529302314,0.19903227210568464,0.08615612607887496,0.19754199951299603,0.08680609476251747,0.06516433595825309,8.61277423893631e-05,0.2040549277011975,0.20567290677761624
39,-143.10344827586206,0.01722354482987489,0.19936459191392014,0.08639219564781854,0.19787183104585296,0.08704394525910901,0.06456100463306848,9.665983762521037e-05,0.20497666762655453,0.20687438123197457
40,-139.08045977011494,0.01732856051858443,0.19980999493715185,0.0867251937223408,0.19831389907264815,0.0873794554976526,0.0639535458125384,9.278439883782354e-05,0.2051644153887707,0.2070709395030506
41,-135.05747126436782,0.017498525949221147,0.20011113305399458,0.08744404012993941,0.19861278238991795,0.08810372493985771,0.0641161610298834,6.611514572469108e-05,0.2038894596351335,0.2052641574378334
42,-131.03448275862067,0.01783583536212661,0.2003419558797643,0.08902696034789054,0.19884187690837662,0.08969858683412599,0.06406540838630945,2.00474817140238e-05,0.20146595603490106,0.20190389577467593
43,-127.01149425287355,0.017898101451528196,0.20027243463100397,0.08936877151618454,0.19877287620641276,0.09004297665312332,0.06406223078815604,-3.3865096111936405e-05,0.19838032913570045,0.1976328895884114
44,-122.98850574712642,0.017948513278514596,0.20006947809495562,0.08971140150621072,0.19857143932624724,0.09038819147110928,0.0642529435831941,-1.7920471352529088e-05,0.19907104044864757,0.19867543705073665
45,-118.9655172413793,0.01800226461827752,0.20012824693046638,0.08995364169922661,0.19862976812465277,0.09063225914345305,0.06434572331804221,-2.779115169245314e-05,0.1985844882822218,0.197970112634145
46,-114.94252873563218,0.017987456214155064,0.1998458711273152,0.09000664418378626,0.19834950663651102,0.09068566148298167,0.06412774670431236,-8.400443084654371e-05,0.19517570377033022,0.19329104715202317
47,-110.91954022988506,0.017834392546970786,0.19945234921101143,0.08941680866392211,0.19795893125204497,0.09009137619693303,0.0641325701424439,-6.241077125193839e-05,0.1959528876460848,0.19457322641142935
48,-106.89655172413791,0.017788053526002774,0.19934371549655247,0.08923307906494002,0.1978511109425961,0.08990626052720899,0.064275331566378,-1.364494207500646e-05,0.19857663088805047,0.19827877627567472
49,-102.87356321839079,0.017682810802743434,0.19934256232075276,0.08870564618453561,0.19784996640130711,0.08937484865110704,0.06431271088357562,1.5506252819505477e-05,0.20021947340646656,0.2005520738377753
50,-98.85057471264366,0.0176558165969659,0.19946847845027263,0.08851431932573489,0.1979749397221316,0.08918207840723065,0.06429430021037681,5.668048487344576e-05,0.2026787794047573,0.2038881175611608
51,-94.82758620689654,0.017488774711322947,0.19979861219904485,0.08753201295462529,0.19830260156384819,0.08819236143854636,0.0640922553195238,5.3662126239000694e-05,0.20286698760697194,0.20398915089388953
52,-90.80459770114942,0.017448283097124585,0.19990024268437953,0.08728495204817487,0.19840347108150022,0.08794343668492158,0.06397173814778719,-1.390563428059335e-05,0.19910327978532588,0.19881284267865562
53,-86.7816091954023,0.01745958401400976,0.19968672778529295,0.08743487465417653,0.19819155489501875,0.088094490319015,0.06382047278210519,4.396499754208001e-05,0.20220482887560542,0.2031365589068786
54,-82.75862068965517,0.01762349787273035,0.2002539840439135,0.08800572910881868,0.19875456376980397,0.08866965134517239,0.06362394974230655,2.9664124767339956e-05,0.20193719840814256,0.2025822347729297
55,-78.73563218390802,0.01768821483386834,0.19992540465123707,0.08847407294097925,0.19842844464579776,0.08914152840053989,0.06374498608711832,-0.00012541198228294546,0.19283526110306995,0.19008472672583526
56,-74.7126436781609,0.017809274734084005,0.199244922117499,0.08938383244508231,0.19775305728812892,0.09005815120286938,0.06403134882929472,-0.00010895676307752031,0.19312694344041142,0.19070459943222715
57,-70.68965517241378,0.01783228077714528,0.1990487410402685,0.08958750848636478,0.1975583451349051,0.09026336379244466,0.0639695233751786,-5.010207933610171e-05,0.196239112818156,0.19511393616895847
58,-66.66666666666666,0.017778367868504903,0.19884180193893267,0.08940960952448475,0.19735295550927898,0.09008412274661382,0.06416447279771069,-5.590587564062656e-05,0.1956972008116455,0.19445997588096134
59,-62.643678160919535,0.017618343236973682,0.19859892365005657,0.08871318591846086,0.19711189579411176,0.08938244526538609,0.06430514103883025,-4.877462079867903e-06,0.19832208365356746,0.19821700460468233
60,-58.62068965517241,0.017536549851806575,0.19880255799116361,0.08821088636387688,0.19731400540420777,0.0888763563229182,0.06445340975113589,5.5919781790681764e-05,0.20199131417543215,0.20316668722030287
61,-54.59770114942526,0.01743434346045904,0.19904885292883218,0.08758826390570815,0.1975584561856928,0.08824903675128859,0.06479767462474527,8.930082487120018e-05,0.2041709743940731,0.20597252309528113
62,-50.57471264367814,0.017373476395557336,0.19952107037518477,0.08707589811385727,0.19802713786012938,0.08773280563105738,0.06509188452970528,0.00016075799892228805,0.20877414070274433,0.21189925568821308
63,-46.55172413793102,0.017373890227562586,0.20034230809257472,0.08672102459523633,0.198842226483961,0.08737525491832088,0.06498816493756647,0.00015489793134315327,0.20925786639956906,0.21223934122105115
64,-42.528735632183896,0.017418981498013637,0.2007673755698998,0.08676201224709934,0.19926411122913512,0.08741655178429715,0.06442485864879861,0.00012032439867175831,0.207675035394068,0.2100700341838734
65,-38.505747126436745,0.017483344445001336,0.20131043543820956,0.08684768083156669,0.19980310488632563,0.08750286665939536,0.06427712896335668,7.826354604202763e-05,0.20578689852501925,0.20735878332940377
66,-34.48275862068965,0.017468087457377556,0.20139708226219197,0.08673456070548456,0.1998891029341791,0.08738889314606395,0.06408514225463362,8.505178394517525e-05,0.206266063148205,0.2079868923706529
67,-30.4597701149425,0.017567464610080116,0.20199476013661902,0.08696990257667266,0.20048230564010164,0.08762601045509011,0.0634394588788843,3.7479090841111724e-05,0.204128197810921,0.20491951501262892
68,-26.436781609195407,0.017525915207454557,0.20169863816551126,0.08689158918898114,0.2001884009097105,0.08754710626495858,0.0633447050456292,-3.3799917714937164e-05,0.19977007025251803,0.1990531711024292
69,-22.413793103448256,0.01759170001118008,0.20172280677569424,0.08720729347545307,0.2002123885551837,0.0878651922497361,0.06358465585694008,-3.697231274395466e-05,0.19962111605106514,0.19884030694382068
70,-18.390804597701162,0.01755262600593144,0.20140115978711162,0.08715255674041404,0.19989314992825286,0.08781004257640425,0.06376225641855347,-3.708064612240321e-05,0.1992886185576755,0.19851366207755244
71,-14.367816091954012,0.01753355998284041,0.20142445674942203,0.08704782063606445,0.19991627245239774,0.08770451633453372,0.06370024217286395,-4.498543738310169e-05,0.19885878055889783,0.1979184022475113
72,-10.344827586206861,0.017472097604904178,0.20103920799207517,0.08690890587667315,0.19953390828084375,0.08756455359112307,0.06439673167043981,-8.877678195493766e-05,0.19595814766592295,0.1941818818175239
73,-6.3218390804597675,0.017497680322711408,0.20071016080265816,0.087178846615122,0.19920732486276846,0.08783653078402288,0.06457393023367383,1.322021401038948e-06,0.20078571489763858,0.20081216355877982
74,-2.298850574712617,0.017543952240239503,0.20104984494587663,0.08726170490189834,0.1995444655894673,0.08792001416032025,0.0647266388135338,6.623197250613947e-05,0.20482504745436428,0.2061394125996148
75,1.7241379310344769,0.01761603638675386,0.20124306173086848,0.08753611794235465,0.19973623564586548,0.08819649739463041,0.06518865859956118,1.664625894145338e-05,0.20218801089968208,0.20251195088532878
76,5.7471264367816275,0.01793356719801446,0.20118378036264695,0.08914022375803869,0.1996773981523854,0.08981270471246984,0.06656587693393463,-3.0402187378333073e-05,0.19948851321124056,0.19891360080269013
