,fov,line,cellID,parentID,frame,tTrans,L,V,Itot,xCM,yCM,orientation,der
28794,36,4,86,73,88,87.116667,4.552518,4.01522,4180269.0,19.385104,23.13002,-0.056286,0.06258556707354597
28795,36,4,86,73,89,94.25,5.090952,4.525132,4816510.0,20.450758,23.055827,-0.049189,0.06555137897176748
28796,36,4,87,85,89,94.25,3.245511,2.12827,2489576.0,13.721863,23.507546,-0.082249,0.02889831910739814
28797,36,4,87,85,90,101.383333,3.47984,2.299738,2515608.0,14.225705,23.474412,-0.060962,0.03320734346088762
28798,36,4,87,85,91,108.516667,3.845136,2.575226,3008935.0,14.336697,23.450447,-0.085902,0.043534604382628635
28799,36,4,87,85,92,115.65,4.291971,2.896447,3585722.0,14.544429,23.567591,-0.070459,0.05573978540147837
28800,36,4,87,85,93,122.783333,4.92075,3.36804,4147087.0,14.791253,23.511578,-0.078045,0.06389943880486178
28801,36,4,87,85,94,129.933333,5.722968,3.868202,4692008.0,15.229434,23.489698,-0.082444,0.065867550720884
28802,36,4,88,85,89,94.25,2.705769,2.436664,2593611.0,16.54066,23.279607,0.016079,0.03471434741655837
28803,36,4,88,85,90,101.383333,3.036583,2.630184,3028688.0,17.216045,23.299088,-0.095796,0.040928316800740265
28804,36,4,88,85,91,108.516667,3.418083,2.986031,3119465.0,17.746215,23.241623,-0.054417,0.05692564508740696
28805,36,4,88,85,92,115.65,3.847512,3.3914,3940762.0,18.440905,23.283729,-0.075277,0.07407107822762045
28806,36,4,88,85,93,122.783333,4.34171,4.077322,4662197.0,19.237185,23.220394,-0.066674,0.08143315022273295
28807,36,4,89,86,90,101.383333,2.867046,2.536859,2766742.0,20.261509,23.116145,-0.053045,0.039688547692659004
28808,36,4,89,86,91,108.516667,3.237994,2.816455,3307820.0,21.103204,23.022386,-0.064029,0.039656182874076656
28809,36,4,89,86,92,115.65,3.648488,3.106598,3692786.0,22.228626,23.067308,-0.056504,0.03934502520303857
28810,36,4,89,86,93,122.783333,4.089734,3.381293,4177279.0,23.545328,22.9443,-0.048196,0.039066232355119954
28811,36,4,110,107,107,222.666667,3.416818,2.152682,2463432.0,14.111759,23.636981,-0.051881,0.054389279099698276
28812,36,4,110,107,108,229.783333,3.831487,2.509755,2510754.0,14.279892,23.653077,-0.073493,0.06193465107212476
28813,36,4,110,107,109,236.916667,4.318542,2.95682,3341463.0,14.601068,23.711145,-0.046317,0.07495988142617088
28814,36,4,110,107,110,244.05,4.929777,3.60918,3884098.0,14.749644,23.701488,-0.062372,0.0804573713609361
28815,36,4,114,112,108,229.783333,2.995137,2.315306,2440448.0,20.751267,23.293656,-0.058367,0.05115088307001096
