,time,growth_rate_p5ter,growth_rate_p1longori,phi_r,sigma,chi_r
114,158.62068965517244,0.020374219593800452,0.02169600993462421,0.16129045828048008,0.12632005520357684,0.1513709697485861
115,162.64367816091954,0.020338798999567104,0.021489464782721984,0.16025349160224006,0.12691641721011215,0.15116155341060522
116,166.66666666666669,0.020367427980808928,0.021352913094551187,0.15980260342556854,0.1274536681143339,0.1526984988558626
117,170.68965517241384,0.02043036633613351,0.021136599852877032,0.1590893003754109,0.1284207441224706,0.1516644218842555
118,174.71264367816093,0.020434188581276286,0.020984486741462163,0.15858208513473052,0.12885559276078068,0.15188782901726786
119,178.73563218390808,0.02042636211771535,0.02085239231299301,0.15798867756689464,0.12929003794633664,0.15282893771626702
120,182.75862068965517,0.020423119621913878,0.021086454438297247,0.1577340816837479,0.12947816606218066,0.152520353740036
121,186.78160919540232,0.02043103757238069,0.021202645103099167,0.1571319371918443,0.13002472913852128,0.1499961526965974
122,190.80459770114948,0.020284262562226457,0.021470094193829226,0.15656104677809776,0.12956136267392498,0.15092422470325342
123,194.82758620689657,0.020171288672133976,0.021629936679653627,0.1562119700046272,0.1291276761411848,0.15098627781318508
124,198.85057471264372,0.020136019054003276,0.02162276790174269,0.1557129288241471,0.1293150106806076,0.15203075764800175
125,202.8735632183908,0.02016582796120726,0.021410118224811054,0.15561540692101714,0.1295876054961734,0.15334202968076793
126,206.89655172413796,0.020102899636824684,0.02120881568994724,0.15534406475492352,0.12940886842725374,0.15352682139185073
127,210.91954022988506,0.02019214620711149,0.021123636807603794,0.15532147240767832,0.13000228425669552,0.15249085705866378
128,214.9425287356322,0.020180779316333258,0.020958519034737687,0.15488418729183873,0.13029593058656053,0.15234087878575747
129,218.9655172413793,0.020145312552893712,0.021127874547683716,0.15490850501243458,0.13004652359969932,0.15446508156326727
130,222.9885057471265,0.01997483369450389,0.021225661578970628,0.15481231335179585,0.12902613017036332,0.15538636813829027
131,227.0114942528736,0.019925472247578166,0.021424032845251736,0.15500076540581656,0.12855079905837963,0.15766562465337072
132,231.0344827586207,0.019814322456621798,0.02136998161030302,0.15523954329761872,0.1276370828960416,0.1576896069499496
133,235.0574712643678,0.019781746978843596,0.021397030146984183,0.15539136823193808,0.12730274019672214,0.158101568031381
134,239.080459770115,0.019748404324398332,0.02124074691786213,0.15567090813309326,0.12685995451066637,0.15890935272124732
135,243.1034482758621,0.019804117726210494,0.021062442799423882,0.1559059415558038,0.12702606153802007,0.16031242988745287
136,247.1264367816092,0.01983005197022689,0.020926007116794224,0.15637305330062665,0.12681246258013318,0.162054199032732
137,251.1494252873564,0.019825238243491427,0.020938247091611704,0.15681238052801827,0.1264264860767749,0.16084240431303895
138,255.1724137931035,0.019787776341473606,0.020956341602252886,0.15701589614160918,0.12602403213765978,0.1588837291837834
139,259.1954022988506,0.019746123504912894,0.02106168920461009,0.15710976195028528,0.12568361927224625,0.1594132564685484
140,263.2183908045977,0.019687500247767234,0.021137545786098614,0.15738186810799262,0.1250938274176414,0.15845044013912443
141,267.2413793103449,0.019550385302488264,0.021158911913994147,0.1572790292892435,0.1243038273496347,0.15784311415354335
142,271.264367816092,0.019498822077413103,0.021057134875880432,0.1574705997575128,0.12382515915630676,0.16173871820388705
143,275.28735632183907,0.019484609267979344,0.020954907863847957,0.1579486419045748,0.12336041027659507,0.16263042565258934
144,279.3103448275863,0.019458668871647364,0.020865455673952413,0.15820457572193886,0.12299687782639117,0.1609261323188244
145,283.33333333333337,0.019490554579799133,0.020887103401877372,0.15837473969818366,0.12306605596916831,0.1616607165454055
146,287.35632183908046,0.019580213100428616,0.02086544900217837,0.1587198844318482,0.12336332760395909,0.16087862247044976
147,291.37931034482756,0.019710060579678633,0.020974712491954782,0.1587148314864213,0.12418537319472195,0.15963766210625124
148,295.40229885057477,0.01974018294498137,0.02102128122531634,0.15886623308926362,0.12425663126216238,0.15926958545952552
149,299.42528735632186,0.019747481693409445,0.020982892073547754,0.15877889556350386,0.12437094755777169,0.15674007493699404
150,303.44827586206895,0.019756848115895315,0.020976883119825828,0.15854228939847392,0.12461563530370899,0.1556150278343473
151,307.47126436781616,0.019714914807521883,0.020953161804229237,0.15831356885680772,0.1245307963801494,0.1556866746469836
152,311.49425287356325,0.01963585943140547,0.020896984738944222,0.15812559633078957,0.12417887987172166,0.15462457644241207
153,315.51724137931035,0.019574086272873825,0.020761579197801302,0.1577604438674248,0.12407474138018437,0.15621038338982463
154,319.54022988505756,0.01950318280853016,0.0207485028497771,0.1578814732013447,0.12353053473004993,0.15793798456857666
155,323.56321839080465,0.01943506984632225,0.020637495008569547,0.15776931175326525,0.12318663008885196,0.1572056260960544
156,327.58620689655174,0.01942190598953885,0.02062569329704723,0.1577933273498104,0.12308445683816924,0.15703201222488053
157,331.60919540229884,0.01943816560056807,0.020606070804964644,0.15765034240212317,0.12329922856105567,0.15625163948593165
158,335.63218390804604,0.019459271249277797,0.020672042768653604,0.1575745715654696,0.12349245856075701,0.15520550007348421
159,339.65517241379314,0.019526847753759728,0.020692644082352902,0.1572794196051113,0.12415386452205054,0.1556590402113106
160,343.67816091954023,0.019621402523586788,0.020739954033828716,0.15731998959755866,0.12472288215744504,0.15784316402424126
161,347.70114942528744,0.01974491389770592,0.020759403930915753,0.15736201490638935,0.1254744603356259,0.15757305230695895
162,351.72413793103453,0.019791351166283336,0.020773514728125053,0.157353516502299,0.1257763512771205,0.15619921567785724
163,355.7471264367816,0.019788136497099883,0.02077687545889757,0.15717820316986475,0.12589618724496143,0.15703264639922893
164,359.7701149425287,0.01971817039335841,0.02077009729258267,0.1573303416968761,0.12532973729472252,0.15837974038465163
