,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
20,580259.3586391296,63387.50589192578,781747.0258552342,106707.27637702439,183391.2589992383,24183.43806753485,333234.44938010594,81340.80697654412,416132.6782637973,77931.3698110201,-219.54022988505747
21,582013.3282511741,63931.055645373126,782856.0138367577,110126.42701941321,183421.68486198536,23782.35783669774,333059.040185767,80775.7001708522,417269.1964554119,77484.20902187473,-215.51724137931035
22,583817.4392358916,66347.62668349395,782517.0499388264,109409.11937612604,183359.72963904878,24135.96722567497,333612.539969303,80217.71659856514,418391.0285089879,74359.15546617204,-211.4942528735632
23,584941.8993058624,64214.20039191277,783126.085356242,112037.25997728438,183444.66712616532,25582.066137255493,333772.2637197152,79538.31271860987,416385.3088462368,73679.27597784367,-207.4712643678161
24,585483.0101311393,61129.20822870109,783665.9000252738,114974.64781982753,183443.11456177948,24787.29603654502,333901.93048274936,79330.16161024125,416958.9108317359,75061.12424030792,-203.44827586206895
25,585767.656493916,61540.8868253515,783896.3540233799,121873.02781384601,183454.8466806346,24174.275632576384,334159.3106213081,79901.36573239347,418929.0581993429,79442.3985845083,-199.42528735632183
26,585777.8297769189,62083.128485412446,784355.4493692154,113997.83052756422,183291.702517544,24172.390605065688,335258.1551272209,80549.16752866277,417632.1991475799,71577.53527396746,-195.4022988505747
27,584949.9530869436,60562.732530321766,785360.309127662,112591.09074024805,183349.39761174773,24151.30308685002,335766.36263948906,80265.57020043716,418421.09254154266,71192.611765906,-191.3793103448276
28,584637.5186575549,59439.33770647671,786372.5490173397,120646.41275613727,183364.4516250232,24360.34698679594,336664.5769570475,80195.44494301188,420166.29406194773,73780.33637828928,-187.35632183908046
29,584361.4393010151,60025.21765730828,786837.0289153465,122582.61877410406,183298.83288799177,24023.002430362572,336908.89690795954,81570.7838611692,419418.3884247274,74999.23442450508,-183.33333333333331
30,583538.8756666321,61545.09544991059,787659.1148918391,118294.66251872455,182851.11599319737,23897.798584114473,337154.59893002466,79314.3693367049,418248.5248936392,75683.98866853486,-179.31034482758622
