,time,growth_rate,p1o_p5t_phi_r,sigma_p1o_p5t,p1o_p5o_phi_r,sigma_p1o_p5o,sigma2_p1o_p5t,d_phi_r,chi_r,chi2_r
37,-151.1494252873563,0.018615022800443,0.2377235484430542,0.07830533795393921,0.20420354944199678,0.09115915394864633,0.05464357281778603,0.00014863704042781723,0.24570833804128558,0.24916591239801678
38,-147.1264367816092,0.018751382982269173,0.23825565429938797,0.07870278267858653,0.20466062618199107,0.09162183919829707,0.05443650806176312,0.00014706839750534796,0.2460987236689599,0.24959494489874365
39,-143.10344827586206,0.018854010888226483,0.23890685738849954,0.07891783054835862,0.20522000695463688,0.09187218716152802,0.05387529886299528,0.00012490492036713822,0.24553170348133466,0.24861109091289899
40,-139.08045977011494,0.018960658368251126,0.23926063641728448,0.07924687759829675,0.20552390168391033,0.09225524726273471,0.05340852493065202,9.082718577137436e-05,0.24405093346327003,0.24636841713498092
41,-135.05747126436782,0.018900957070060294,0.23963765083723473,0.0788730694197052,0.20584775551853834,0.091820078496596,0.053540658514787814,5.399397825064333e-05,0.2424943304249669,0.24384594960836067
42,-131.03448275862067,0.018964068225718528,0.23969507072504828,0.07911747274716388,0.2058970789657815,0.09210460061393203,0.053547155481857914,5.796837153275441e-05,0.2427518184040162,0.24421150393255336
43,-127.01149425287355,0.01894145114825854,0.24010406302198103,0.0788885073824198,0.20624840166508954,0.09183805059985901,0.053434743112459195,0.0001240796872677842,0.2466547589690121,0.24977519823245148
44,-122.98850574712642,0.018826447852525866,0.24069341303639827,0.07821754494660343,0.2067546509012123,0.09105694972502056,0.05340841166604879,0.00012352626576620426,0.24725472862465095,0.25030257348367
45,-118.9655172413793,0.018856952915941444,0.24109795251665164,0.07821282893158983,0.20710214864932436,0.09105145957645748,0.05341147309918873,0.00011314402028121471,0.2470980746352981,0.24988420194217947
46,-114.94252873563218,0.01890907919740173,0.24160376722256896,0.07826483591202618,0.20753664139934747,0.09111200349925863,0.05304414558962211,0.00013701828447119216,0.24884993098553101,0.2522952358398116
47,-110.91954022988506,0.018856991858000112,0.24220039848366123,0.07785698114477792,0.2080491451963883,0.09063719939920938,0.05281325652613784,0.0001049353729468714,0.24776519766992977,0.2504039915551349
